frame,joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z,joint12_x,joint12_y,joint12_z,joint13_x,joint13_y,joint13_z,joint14_x,joint14_y,joint14_z,joint15_x,joint15_y,joint15_z,joint16_x,joint16_y,joint16_z,joint17_x,joint17_y,joint17_z,joint18_x,joint18_y,joint18_z,joint19_x,joint19_y,joint19_z,joint20_x,joint20_y,joint20_z,joint21_x,joint21_y,joint21_z,joint22_x,joint22_y,joint22_z,joint23_x,joint23_y,joint23_z
0,-1.4011223,-0.0746946,7.162851,-1.3668195,0.019472174,7.2148438,-1.423798,0.010382995,7.095702,-1.4363698,-0.174937,7.1840944,-1.440198,0.38952953,7.167952,-1.165942,0.19797547,6.876206,-1.4419643,-0.30881053,7.163404,-1.8177385,0.4971599,7.244552,-1.0873319,0.5663979,7.0104485,-1.4479493,-0.36344796,7.147454,-1.8371066,0.6278674,7.231172,-1.0200273,0.6024797,6.9016943,-1.5355316,-0.5579413,7.153307,-1.4425197,-0.49756312,7.1995087,-1.564411,-0.44516784,7.123655,-1.5360097,-0.6327758,7.1153216,-1.3844202,-0.56769544,7.2137322,-1.6409088,-0.45881057,7.0647955,-1.1920694,-0.6435098,7.056444,-1.7347648,-0.39381224,6.839402,-1.40773,-0.6390152,6.9376373,-1.6499646,-0.6302029,6.8052955,-1.4798316,-0.67857367,6.923126,-1.6006355,-0.69271,6.780951
1,-1.3967016,-0.07247542,7.1720047,-1.3624294,0.021857806,7.2237153,-1.4194115,0.012394071,7.1046047,-1.4319118,-0.17266685,7.193548,-1.439471,0.39109448,7.176233,-1.1599386,0.20253128,6.8892426,-1.4377486,-0.3067486,7.1743245,-1.8179624,0.49768293,7.2495275,-1.0795369,0.5710027,7.022284,-1.4437926,-0.36145356,7.1586304,-1.8363222,0.6280401,7.2319627,-1.0119452,0.608135,6.914063,-1.5310549,-0.5560082,7.166779,-1.4379748,-0.49502102,7.212034,-1.5602111,-0.4435874,7.1360774,-1.5308031,-0.6313454,7.1297984,-1.3802017,-0.5654273,7.226233,-1.636299,-0.45899126,7.0771213,-1.1867646,-0.63834107,7.068906,-1.7268504,-0.40452793,6.8476214,-1.4026303,-0.63941455,6.950392,-1.6383139,-0.6399715,6.8165965,-1.4744307,-0.67965686,6.936273,-1.5911382,-0.7046462,6.7936883
2,-1.383493,-0.07193138,7.167607,-1.3481417,0.021757975,7.21976,-1.4071525,0.013719797,7.1015353,-1.4185553,-0.17228198,7.188645,-1.4203789,0.39236045,7.175473,-1.1483747,0.20617856,6.8874025,-1.4251046,-0.30630714,7.169257,-1.7987607,0.49397725,7.2560344,-1.068679,0.5722573,7.0272975,-1.4309024,-0.36096013,7.153291,-1.8178115,0.6244544,7.2401795,-1.0040795,0.6138474,6.9188704,-1.5172027,-0.5559421,7.161468,-1.4248011,-0.49430162,7.2072253,-1.5467079,-0.44378823,7.13013,-1.5163412,-0.63069797,7.123335,-1.3674538,-0.56489974,7.222178,-1.6215332,-0.46108872,7.0700936,-1.1758784,-0.64135456,7.0642548,-1.6972579,-0.41991282,6.832594,-1.3900938,-0.6415997,6.9427786,-1.607421,-0.65672165,6.823332,-1.4623175,-0.6810646,6.9286246,-1.586796,-0.7372699,6.827776
3,-1.3667294,-0.07412587,7.15744,-1.3287836,0.0189595,7.208846,-1.3911561,0.01201424,7.09229,-1.4024323,-0.17410243,7.17917,-1.3964427,0.3902152,7.162833,-1.1366643,0.20812882,6.876345,-1.4114472,-0.3080974,7.1605797,-1.7746136,0.4818025,7.255501,-1.0524039,0.57715905,7.0053897,-1.4175514,-0.362694,7.144535,-1.7944187,0.6121899,7.2398334,-0.98955464,0.6160371,6.894946,-1.5042825,-0.5574374,7.1537743,-1.4115366,-0.49585864,7.1989145,-1.5336541,-0.4453239,7.122167,-1.5013652,-0.6314193,7.114259,-1.3538631,-0.56620145,7.2138157,-1.6084781,-0.46245602,7.0620813,-1.1620271,-0.64160347,7.055703,-1.669297,-0.4169629,6.82111,-1.381346,-0.646188,6.9437966,-1.5780103,-0.65155697,6.850559,-1.4552543,-0.6836519,6.9334,-1.5869973,-0.7295773,6.878222
4,-1.3577577,-0.07409252,7.146988,-1.3192198,0.018664062,7.1985474,-1.382902,0.012457907,7.0826597,-1.3932306,-0.17420024,7.1684895,-1.3866607,0.39037058,7.1559834,-1.1312162,0.20793438,6.8628817,-1.4031267,-0.30818123,7.1502504,-1.7636656,0.47663382,7.2580366,-1.0482516,0.57669586,6.993524,-1.4093808,-0.3628043,7.134354,-1.783075,0.6071599,7.243044,-0.98599166,0.6159065,6.882865,-1.4965723,-0.5572933,7.1445656,-1.4037933,-0.4956509,7.189551,-1.525617,-0.4453075,7.112213,-1.4923844,-0.6310318,7.1047106,-1.345982,-0.56570333,7.2052636,-1.600158,-0.46235412,7.051752,-1.1531441,-0.6399358,7.0478177,-1.6518637,-0.41791397,6.8084674,-1.3748381,-0.6451894,6.9407244,-1.5662606,-0.6501396,6.863041,-1.4490141,-0.6825908,6.9321713,-1.5866928,-0.7230938,6.897586
5,-1.3435227,-0.07483554,7.139651,-1.3041254,0.017212614,7.191827,-1.3690872,0.012513593,7.07658,-1.3790822,-0.17506899,7.160411,-1.3665752,0.39055538,7.156601,-1.1193005,0.2087513,6.855319,-1.389216,-0.3087995,7.1405373,-1.7425302,0.4617628,7.2731185,-1.0436368,0.57290435,7.002299,-1.3954811,-0.36327696,7.124153,-1.7674193,0.59180796,7.262757,-0.9822265,0.61585945,6.892559,-1.4831489,-0.5576327,7.132684,-1.3906153,-0.4964072,7.178731,-1.5117003,-0.4454276,7.1006536,-1.4780047,-0.6307942,7.091889,-1.3330628,-0.56647825,7.195288,-1.585653,-0.4618011,7.039291,-1.1378944,-0.6400222,7.040412,-1.6297061,-0.41683596,6.794601,-1.3596195,-0.64610696,6.933427,-1.5472171,-0.64473855,6.868701,-1.4336777,-0.6839245,6.9257255,-1.5726664,-0.7134942,6.9081745
6,-1.3233812,-0.07572691,7.102987,-1.2826481,0.0159342,7.154817,-1.3498354,0.0120076835,7.0408244,-1.3589019,-0.17592844,7.123966,-1.3382053,0.39038584,7.119816,-1.1073083,0.20790453,6.8113375,-1.3704935,-0.3096777,7.1050377,-1.7147489,0.4443659,7.2434683,-1.0314052,0.57137585,6.9598737,-1.3765894,-0.36424014,7.0888743,-1.7429119,0.5739517,7.236193,-0.9715589,0.61619306,6.850014,-1.464927,-0.5582043,7.099217,-1.372726,-0.4965854,7.1454062,-1.4927864,-0.44639078,7.0652657,-1.4570928,-0.6306466,7.0575747,-1.3142766,-0.56558156,7.1632833,-1.5644691,-0.46178946,7.0010242,-1.1178819,-0.6350155,7.0080605,-1.5746562,-0.41796437,6.752405,-1.3460312,-0.6460718,6.9160256,-1.5198188,-0.63683033,6.8678412,-1.4203454,-0.6841543,6.9149303,-1.5537233,-0.6984718,6.912383
7,-1.310566,-0.07568623,7.069782,-1.269454,0.015764162,7.1216855,-1.3373376,0.012284726,7.008091,-1.3460277,-0.17593718,7.0906243,-1.3224913,0.3904202,7.0850024,-1.0967605,0.20880836,6.7770925,-1.3582892,-0.30964214,7.0718055,-1.6990701,0.43723315,7.211437,-1.0223459,0.57147074,6.928334,-1.3641242,-0.36413622,7.0553184,-1.7282687,0.5666384,7.205089,-0.9630737,0.617975,6.818866,-1.453382,-0.5576459,7.0662556,-1.3611588,-0.49618012,7.112604,-1.4805572,-0.44590092,7.031533,-1.4447925,-0.62947726,7.023714,-1.3021137,-0.56457067,7.130847,-1.5507642,-0.46004707,6.9654016,-1.1060411,-0.6341746,6.975293,-1.5481697,-0.42001963,6.7159486,-1.3365233,-0.6459103,6.889357,-1.5039169,-0.6317735,6.847997,-1.4106592,-0.68430483,6.8913074,-1.5398071,-0.69057536,6.894767
8,-1.3033794,-0.07548392,7.0846376,-1.2622788,0.015989736,7.136509,-1.3306832,0.012519762,7.0232277,-1.3384652,-0.17586933,7.105469,-1.3144948,0.39061558,7.0983686,-1.0898001,0.21294053,6.795926,-1.3510547,-0.30953336,7.0865765,-1.69118,0.41927612,7.2298055,-1.0186045,0.57613397,6.9474425,-1.3572726,-0.36394095,7.0699444,-1.722544,0.5482633,7.225659,-0.9576913,0.6228511,6.8389697,-1.4490612,-0.5562435,7.0812235,-1.3557472,-0.4960723,7.127085,-1.4749339,-0.44410688,7.0467687,-1.4406496,-0.6284795,7.039336,-1.2965689,-0.56465924,7.144119,-1.5436798,-0.45400023,6.9783688,-1.1054125,-0.6406974,6.9854884,-1.5183278,-0.41416162,6.730163,-1.3366747,-0.64400655,6.9009213,-1.4900556,-0.61883867,6.8769383,-1.4111862,-0.6815203,6.904772,-1.53086,-0.6773599,6.9198737
9,-1.2893375,-0.078542605,7.0804133,-1.2464126,0.012690961,7.1312194,-1.3166556,0.009496331,7.01906,-1.3251824,-0.17844638,7.102244,-1.2941163,0.38683492,7.083613,-1.0804288,0.21526676,6.7916517,-1.3390994,-0.31205153,7.0838733,-1.6736674,0.41586515,7.206442,-1.0106273,0.5800606,6.939938,-1.3456594,-0.3664351,7.067294,-1.7041683,0.54482436,7.1976213,-0.9510658,0.6268276,6.8307385,-1.438147,-0.55839217,7.0787454,-1.3445537,-0.498554,7.124473,-1.4636459,-0.44617075,7.0442886,-1.4275254,-0.6297005,7.0357847,-1.284378,-0.566296,7.141394,-1.5314672,-0.45361972,6.974666,-1.095188,-0.6428407,6.9806643,-1.4911608,-0.4107675,6.7289534,-1.3281714,-0.6480289,6.9010615,-1.4734479,-0.6143768,6.8788342,-1.4019337,-0.6867887,6.9066205,-1.5187149,-0.67182803,6.918627
